RefId,IsBadBuy
73015,0.036
73016,0.122
73017,0.062
73018,0.266
73019,0.52
73020,0.284
73021,0.01
73022,0.12
73023,0.036
73024,0.44
73025,0.184
73026,0.632
73027,0.472
73028,0.158
73029,0.082
73030,0.072
73031,0.09
73032,0.108
73033,0.016
73034,0.068
73035,0.112
73036,0.062
73037,0.15
73038,0.03
73039,0.05
73040,0.054
73041,0.736
73042,0.012
73043,0.04
73044,0.208
73045,0.062
73046,0.1
73047,0.066
73048,0.122
73049,0.08
73050,0.072
73051,0.148
73052,0.614
73053,0.526
73054,0.248
73055,0.464
73056,0.288
73057,0.144
73058,0.042
73059,0.018
73060,0.066
73061,0.106
73062,0.16
73063,0.092
73064,0.048
73065,0.092
73066,0.01
73067,0.154
73068,0.054
73069,0.016
73070,0.058
73071,0.068
73072,0.058
73073,0.2
73074,0.024
73075,0.08
73076,0.136
73077,0.068
73078,0.118
73079,0.048
73080,0.104
73081,0.27
73082,0.058
73083,0.026
73084,0.048
73085,0.08
73086,0.258
73087,0.064
73088,0.124
73089,0.076
73090,0.046
73091,0.124
73092,0.034
73093,0.108
73094,0.146
73095,0.532
73096,0.01
73097,0.002
73098,0.084
73099,0.072
73100,0.046
73101,0.176
73102,0.01
73103,0.054
73104,0.456
73105,0.188
73106,0.03
73107,0.342
73108,0.046
73109,0.108
73110,0.18
73111,0.04
73112,0.102
73113,0.12
73114,0.028
73115,0.016
73116,0.082
73117,0.084
73118,0.036
73119,0.506
73120,0.702
73121,0.128
73122,0.062
73123,0.024
73124,0.178
73125,0.026
73126,0.206
73127,0.05
73128,0.118
73129,0.048
73130,0.04
73131,0.128
73132,0.256
73133,0.036
73134,0.212
73135,0.104
73136,0.044
73137,0.864
73138,0.322
73139,0.078
73140,0.898
73141,0.132
73142,0.296
73143,0.13
73144,0.126
73145,0.072
73146,0.15
73147,0.096
73148,0.072
73149,0.126
73150,0.08
73151,0.084
73152,0.052
73153,0.102
73154,0.116
73155,0.088
73156,0.062
73157,0.178
73158,0.024
73159,0.304
73160,0.886
73161,0.042
73162,0.902
73163,0.038
73164,0.4
73165,0.174
73166,0.142
73167,0.024
73168,0.016
73169,0.456
73170,0.154
73171,0.11
73172,0.224
73173,0.034
73174,0.05
73175,0.038
73176,0.054
73177,0.214
73178,0.08
73179,0.018
73180,0.11
73181,0.208
73182,0.124
73183,0.128
73184,0.034
73185,0.15
73186,0.13
73187,0.102
73188,0.098
73189,0.1
73190,0.28
73191,0.432
73192,0.886
73193,0.056
73194,0.128
73195,0.064
73196,0.024
73197,0.618
73198,0.01
73199,0.078
73200,0.17
73201,0.11
73202,0.464
73203,0.13
73204,0.052
73205,0.234
73206,0.056
73207,0.064
73208,0.034
73209,0.03
73210,0.162
73211,0.336
73212,0.024
73213,0.134
73214,0.096
73215,0.434
73216,0.088
73217,0.066
73218,0.23
73219,0.124
73220,0.088
73221,0.238
73222,0.034
73223,0.138
73224,0.104
73225,0.058
73226,0.028
73227,0.122
73228,0.076
73229,0.332
73230,0.24
73231,0.162
73232,0.756
73233,0.564
73234,0.08
73235,0.072
73236,0.108
73237,0.196
73238,0.032
73239,0.08
73240,0.068
73241,0.106
73242,0.16
73243,0.63
73244,0.052
73245,0.052
73246,0.554
73247,0.126
73248,0.026
73249,0.026
73250,0.07
73251,0.014
73252,0.1
73253,0.164
73254,0.308
73255,0.036
73256,0.174
73257,0.138
73258,0.5
73259,0.308
73260,0.184
73261,0.594
73262,0.12
73263,0.112
73264,0.19
73265,0.344
73266,0.028
73267,0.004
73268,0.03
73269,0.006
73270,0.094
73271,0.052
73272,0.892
73273,0.046
73274,0.168
73275,0.752
73276,0.298
73277,0.152
73278,0.062
73279,0.118
73280,0.156
73281,0.094
73282,0.15
73283,0.186
73284,0.44
73285,0.246
73286,0.49
73287,0.04
73288,0.106
73289,0.034
73290,0.306
73291,0.492
73292,0.022
